timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-09-26 08:23:13,0.03,31.43,3.07,25,healthy
2025-09-26 08:23:18,0.01,31.5,3.08,29,healthy
2025-09-26 08:23:24,101.69,509.2,49.73,136,healthy
2025-09-26 08:23:30,0.00,18.68,1.82,24,healthy
2025-09-26 08:23:36,101.78,227.7,22.24,230,healthy
2025-09-26 08:23:42,4.74,648.4,63.32,25,healthy
2025-09-26 08:23:47,0.01,648.4,63.32,24,healthy
2025-09-26 08:23:53,102.76,942.8,92.07,238,healthy
2025-09-26 08:23:59,105.32,293.6,28.67,110,healthy
2025-09-26 08:24:05,0.02,488,47.66,25,healthy
2025-09-26 08:24:10,0.52,488.1,47.67,25,healthy
2025-09-26 08:24:16,101.88,669.6,65.39,141,healthy
2025-09-26 08:24:22,0.01,31.36,3.06,25,healthy
2025-09-26 08:24:28,103.41,537.1,52.45,214,healthy
2025-09-26 08:24:33,15.64,31.34,3.06,26,healthy
2025-09-26 08:24:39,0.01,31.49,3.08,40,healthy
2025-09-26 08:24:45,104.59,329.7,32.20,313,healthy
2025-09-26 08:24:51,10.60,664.4,64.88,55,healthy
2025-09-26 08:24:57,0.01,669.4,65.37,23,healthy
2025-09-26 08:25:02,20.58,671.5,65.58,62,healthy
2025-09-26 08:25:08,107.94,987.8,96.46,109,unhealthy
2025-09-26 08:25:14,0.01,31.42,3.07,25,healthy
2025-09-26 08:25:20,14.25,32.18,3.14,498,healthy
2025-09-26 08:25:26,100.74,739.5,72.22,340,healthy
2025-09-26 08:25:32,0.01,31.43,3.07,23,healthy
2025-09-26 08:25:38,0.01,31.51,3.08,25,healthy
2025-09-26 08:25:44,103.74,519,50.68,131,healthy
2025-09-26 08:25:49,0.00,20.54,2.01,29,healthy
2025-09-26 08:25:55,8.25,29.75,2.91,24,healthy
2025-09-26 08:26:01,115.27,186.8,18.24,455,healthy
2025-09-26 08:26:07,98.45,628.3,61.36,304,healthy
2025-09-26 08:26:13,0.01,29.64,2.89,25,healthy
2025-09-26 08:26:19,104.65,401.4,39.20,82,healthy
2025-09-26 08:26:25,0.01,616.7,60.22,24,healthy
2025-09-26 08:26:30,0.02,616.7,60.22,24,healthy
2025-09-26 08:26:36,102.61,1019,99.51,22,unhealthy
2025-09-26 08:26:42,0.01,29.64,2.89,27,healthy
2025-09-26 08:26:48,96.86,176.5,17.24,368,healthy
2025-09-26 08:26:54,101.32,784.7,76.63,201,healthy
2025-09-26 08:26:59,103.57,231,22.56,74,healthy
2025-09-26 08:27:05,1.51,461.4,45.06,24,healthy
2025-09-26 08:27:11,0.03,461.4,45.06,25,healthy
2025-09-26 08:27:17,100.20,562.4,54.92,273,healthy
2025-09-26 08:27:22,39.99,29.62,2.89,25,healthy
2025-09-26 08:27:28,101.90,499.2,48.75,169,healthy
2025-09-26 08:27:34,0.00,11,100.00,16,unhealthy
2025-09-26 08:27:40,0.02,29.62,2.89,28,healthy
2025-09-26 08:27:45,23.76,70.17,6.85,108,healthy
2025-09-26 08:27:51,48.69,592.2,57.83,99,healthy
2025-09-26 08:27:57,0.02,29.54,2.88,24,healthy
2025-09-26 08:28:03,0.01,29.7,2.90,32,healthy
2025-09-26 08:28:09,102.88,409.6,40.00,141,healthy
2025-09-26 08:28:15,0.00,11,100.00,13,unhealthy
2025-09-26 08:28:20,104.84,321.1,31.36,90,healthy
2025-09-26 08:28:26,7.60,571.3,55.79,24,healthy
2025-09-26 08:28:32,8.20,571.4,55.80,25,healthy
2025-09-26 08:28:37,98.37,679.9,66.40,82,healthy
2025-09-26 08:28:43,0.02,29.59,2.89,30,healthy
2025-09-26 08:28:49,100.26,536.6,52.40,96,healthy
2025-09-26 08:28:55,0.01,621.6,60.70,24,healthy
2025-09-26 08:29:00,7.85,621.7,60.71,122,healthy
2025-09-26 08:29:06,102.14,985.7,96.26,29,unhealthy
2025-09-26 08:29:12,100.59,270.4,26.41,145,healthy
2025-09-26 08:29:18,35.28,847.8,82.79,25,healthy
2025-09-26 08:29:23,8.62,847.9,82.80,26,healthy
2025-09-26 08:29:29,82.58,918.6,89.71,188,healthy
2025-09-26 08:29:35,0.01,29.68,2.90,25,healthy
2025-09-26 08:29:40,0.03,29.77,2.91,30,healthy
2025-09-26 08:29:47,103.25,468.4,45.74,359,healthy
2025-09-26 08:29:52,87.91,1006,98.24,29,unhealthy
2025-09-26 08:29:58,0.01,31.38,3.06,31,healthy
2025-09-26 08:30:04,28.27,31.43,3.07,36,healthy
2025-09-26 08:30:10,102.58,380.4,37.15,241,healthy
2025-09-26 08:30:16,101.47,920,89.84,148,healthy
2025-09-26 08:30:22,0.02,31.23,3.05,26,healthy
2025-09-26 08:30:27,24.15,72.43,7.07,104,healthy
2025-09-26 08:30:33,97.37,742.8,72.54,138,healthy
2025-09-26 08:30:39,0.02,31.27,3.05,166,healthy
2025-09-26 08:30:45,19.62,583.2,56.95,25,healthy
2025-09-26 08:30:50,0.01,583.4,56.97,25,healthy
2025-09-26 08:30:56,0.01,583.4,56.97,92,healthy
2025-09-26 08:31:02,0.00,,,24,unhealthy
2025-09-26 08:31:08,0.02,31.22,3.05,24,healthy
2025-09-26 08:31:14,99.61,172.7,16.87,250,healthy
2025-09-26 08:31:20,104.87,840,82.03,107,healthy
2025-09-26 08:31:25,0.03,31.21,3.05,25,healthy
2025-09-26 08:31:31,0.01,31.3,3.06,25,healthy
2025-09-26 08:31:37,100.92,531.7,51.92,313,healthy
2025-09-26 08:31:43,0.00,22.37,2.18,25,healthy
2025-09-26 08:31:48,7.87,31.29,3.06,25,healthy
2025-09-26 08:31:54,73.10,133.9,13.08,113,healthy
2025-09-26 08:32:00,103.57,710.6,69.39,696,healthy
2025-09-26 08:32:06,13.06,31.12,3.04,26,healthy
2025-09-26 08:32:12,101.59,492.9,48.13,81,healthy
2025-09-26 08:32:17,0.03,638,62.30,25,healthy
2025-09-26 08:32:23,0.01,638,62.30,54,healthy
2025-09-26 08:32:29,0.00,10.42,1.02,25,healthy
2025-09-26 08:32:35,102.64,488,47.66,146,healthy
2025-09-26 08:32:40,104.87,969.2,94.65,33,unhealthy
2025-09-26 08:32:46,0.02,31.21,3.05,25,healthy
2025-09-26 08:32:52,14.55,51.84,5.06,133,healthy
2025-09-26 08:32:58,103.21,642.7,62.76,76,healthy
2025-09-26 08:33:04,111.70,962.1,93.96,78,unhealthy
2025-09-26 08:33:10,0.01,31.14,3.04,25,healthy
2025-09-26 08:33:16,8.28,31.9,3.12,205,healthy
2025-09-26 08:33:21,99.71,590.4,57.66,115,healthy
2025-09-26 08:33:27,34.04,31.12,3.04,24,healthy
2025-09-26 08:33:33,5.24,31.25,3.05,24,healthy
2025-09-26 08:33:39,101.04,329.1,32.14,265,healthy
2025-09-26 08:33:45,100.93,952.5,93.02,88,healthy
2025-09-26 08:33:50,100.49,292.5,28.56,122,healthy
2025-09-26 08:33:56,1.20,628.2,61.35,24,healthy
2025-09-26 08:34:02,0.01,628.2,61.35,123,healthy
2025-09-26 08:34:08,98.99,814.1,79.50,127,healthy
2025-09-26 08:34:13,0.02,31.18,3.04,27,healthy
2025-09-26 08:34:19,0.01,31.27,3.05,25,healthy
2025-09-26 08:34:25,100.02,531,51.86,113,healthy
2025-09-26 08:34:31,0.00,1.535,0.15,24,unhealthy
2025-09-26 08:34:37,1.06,31.21,3.05,25,healthy
2025-09-26 08:34:42,98.47,182.1,17.78,139,healthy
2025-09-26 08:34:48,101.30,749.9,73.23,103,healthy
2025-09-26 08:34:54,1.74,36.36,3.55,25,healthy
2025-09-26 08:35:00,0.02,36.41,3.56,47,healthy
2025-09-26 08:35:06,110.26,192.2,18.77,353,healthy
2025-09-26 08:35:12,64.43,816.3,79.72,142,healthy
2025-09-26 08:35:17,2.69,31.23,3.05,25,healthy
2025-09-26 08:35:23,0.01,31.28,3.05,25,healthy
2025-09-26 08:35:29,12.93,41.8,4.08,25,healthy
2025-09-26 08:35:35,101.23,579.8,56.62,237,healthy
2025-09-26 08:35:40,12.52,31.11,3.04,29,healthy
